model,feature_set,n_features,mae_mean,mae_std,seconds,fold_1_mae,fold_2_mae,fold_3_mae,fold_4_mae,fold_5_mae
random_forest,all_domain_raw,72,3.1604777691811288,0.07201820857026081,5.776761252433062,3.1797027094928882,3.102781321797384,3.174327109381929,3.0685302709964573,3.277047434236984
random_forest,core_bat_pitch_field,31,3.1753563526282766,0.07381907390117838,3.7990008741617203,3.230049536048502,3.1337714163939716,3.1371627397276836,3.086035800530678,3.2897622704405487
random_forest,all_domain,51,3.179266734797164,0.07190755886005261,4.07741860114038,3.234806294666871,3.1385010040781687,3.1403062725217024,3.093134333335154,3.289585769383924
random_forest,core_bat_pitch,28,3.1816412516240224,0.0717657126087134,3.612642828375101,3.2559049426230056,3.119483879598055,3.177220811970461,3.0874548667786383,3.268141757149954
elasticnet,core_bat,18,3.182961594157942,0.058456675471016205,1.2527289241552353,3.1990235440862627,3.180733125766019,3.108921614121551,3.1440408173223022,3.282088869493573
ridge,core_bat,18,3.1858205459137503,0.05658690943393749,0.141641428694129,3.20129003217806,3.187167346739419,3.1066987220867395,3.155459007983161,3.278487620581371
elasticnet,core,8,3.2025053006834754,0.03439762994155099,1.5054928846657276,3.2278378653488975,3.2149096891974045,3.1862952863131424,3.1436486512639306,3.239835011294
ridge,core,8,3.202776006105097,0.03563114265781326,0.13000518269836903,3.2312415916855914,3.2173686739124787,3.187463021998715,3.140399409495576,3.237407333433124
hgb,raw,22,3.2261216038284375,0.06706527090688048,2.8940342273563147,3.2122488559713527,3.2183317929634834,3.352844820308565,3.155453275841196,3.1917292740575887
lightgbm,raw,22,3.2927563387605203,0.097038173973291,1.2052150629460812,3.24147381844757,3.401383121866557,3.1812387890084666,3.2230214331662874,3.416664531313721
lightgbm,core_bat,18,3.323920328880196,0.08006162008068854,1.1838402915745974,3.329480829414307,3.388703897914352,3.1687616554174456,3.375002669706887,3.3576525919479896
random_forest,raw,22,3.3486922127468355,0.07136584087084379,3.0217777360230684,3.294326897804577,3.4730644842044978,3.2820637089865454,3.3109731212927933,3.3830328514457624
lightgbm,core,8,3.356673496878286,0.05354483556249986,0.8796481713652611,3.372960620196014,3.3561027299185193,3.2556078374992787,3.3890250759928637,3.409671220784754
hgb,core,8,3.3768963612345404,0.06830407086666529,2.643799552693963,3.445062190836606,3.2540890705899765,3.3835541172687096,3.366222121981613,3.435554305495797
hgb,core_bat,18,3.4007637857400654,0.05729340160841261,3.0323014203459024,3.455952385081517,3.396440660448063,3.3252944371148594,3.352444354989232,3.4736870910666564
random_forest,core_bat,18,3.4093555627542167,0.07044329178310817,3.089995978400111,3.4582970096905545,3.3385016070599147,3.3443483663682674,3.3842870074673366,3.5213438231850107
random_forest,core,8,3.43701146897907,0.07978289175643004,3.100791919976473,3.466108077247843,3.298765928438415,3.4333464984542146,3.4410200108028,3.5458168299520763
